Year,Residential,Commercial,Industrial,Transportation
1987,6.95,6.22,3.82,4.34
1988,6.85,6.06,4.23,4.67
1989,6.72,6.07,4.11,4.87
1990,6.58,5.94,3.57,4.13
1991,6.32,5.82,3.32,4.09
1992,6.32,5.87,3.17,4.18
1993,6.36,6.02,3.31,4.32
1994,6.73,6.21,3.78,4.63
1995,6.59,6.18,3.92,4.21
1996,6.56,6.16,3.79,4.44
1997,6.34,6.01,3.51,4.65
1998,6.37,5.89,3.58,3.97
1999,6.37,5.87,3.64,3.97
2000,6.27,5.73,4.03,3.95
2001,6.81,6.39,5.68,4.40
2002,7.40,7.02,5.74,4.84
2003,7.28,7.00,5.49,7.44
2004,7.15,6.93,4.81,7.23
2005,7.12,6.88,4.64,7.00
2006,7.20,7.00,4.68,6.26
2007,7.46,6.73,4.69,5.90
2008,7.61,6.83,4.56,5.87
2009,7.68,6.98,4.40,5.91
2010,7.94,7.28,4.03,7.34
2011,8.01,7.25,3.96,8.27
2012,8.11,7.30,3.92,7.66
2013,8.14,7.28,3.96,7.52
2014,7.98,7.33,3.98,7.80
2015,8.27,7.47,3.96,7.44
2016,8.47,7.53,3.96,7.94
2017,8.47,7.52,4.04,8.06
