State,Coal,Natural_Gas,Total_Petroleum,Total_fossil_fuel,Nuclear_Electric_Power,Hydro_electric_Waste,Biodiesel,Total_Biomass,Solar,Wind,Total_Renewable_Energy,Total,lat,long
Alabama,377.2,770.9,519.6,1667.6,412.6,101.4,5.8,193.4,3.4,0,298.4,2679,32.318231,-86.902298
Alaska,17.3,346.3,221.2,584.8,0,15.2,0.9,8.2,,1.4,25,839.2,63.588753,-154.493062
Arizona,331.5,400.6,539.5,1271.6,325.1,63.6,2.2,38.9,70.8,4.8,178.5,2028.5,34.048928,-111.093731
Arkansas,304.1,366.9,329.9,1001,133,27.4,4.5,93.5,2.1,0,123.8,1548.2,35.20105,-91.831833
California,33.3,2207.4,3512.8,5753.5,190.4,239.7,23.5,296.9,381.7,127.7,1154.5,10717.7,36.778261,-119.417932
Colorado,284.5,519.6,501,1305.1,0,16.6,0.9,43.2,15.3,88.7,164.6,2013.9,39.550051,-105.782067
Connecticut,4,286,312.7,602.7,176.5,5.1,1.5,38.7,6.5,0.1,50.4,1004.5,41.603221,-73.087749
Delaware,4.3,99.4,109.4,213.1,0,0,0.2,6.1,1.5,,8,336.6,38.910832,-75.52767
Florida,327.8,1511.1,1688,3526.9,306.5,2.1,4.6,251.8,53.5,0,317.5,5784.2,27.664827,-81.515754
Georgia,340.2,759.3,876.3,1975.8,359.3,33.7,3,247.5,21,0,302.4,3402,32.157435,-82.907123
Hawaii,14.4,0.2,247.2,261.8,0,0.9,1.4,10.7,13.1,5.5,31.1,550.8,19.898682,-155.665857
Idaho,2.8,115.8,180.8,299.4,0,100.4,0.5,46.7,5.4,24.2,178.9,705.8,44.068202,-114.742041
Illinois,704.6,1127.5,1228.6,3060.6,1025.7,1.3,23.3,170.3,2.7,108.3,284.7,4744.2,40.633125,-89.398528
Indiana,985.7,890.4,741.1,2617.2,0,2,5.3,126,3.7,49.5,185.9,3670.2,40.551217,-85.602364
Iowa,325.7,431.5,413.4,1170.5,51.2,8.4,7.4,258.1,1.3,194.2,463.4,2305.4,41.878003,-93.097702
Kansas,227.7,321.4,345.6,894.6,95.9,0.2,3.2,46.6,0.3,172.1,220.3,1507.1,39.011902,-98.484246
Kentucky,655.9,356.5,604.1,1616.5,0,40.2,4,58.4,0.7,0,102.1,2381.1,37.839333,-84.270018
Louisiana,137.8,1860.7,1897,3895.5,179.3,10.7,6.6,140.2,2.2,0,155,6087.7,31.244823,-92.145024
Maine,2.1,48.4,173.6,224.1,0,29.7,1,108.2,0.8,21.7,160.4,666.3,45.253783,-69.445469
Maryland,124.2,313,448.5,885.7,156.7,25.8,1.4,47.4,11.5,5.2,90.4,1472,39.045755,-76.641271
Massachusetts,0.1,452.6,561.5,1014.2,46.4,10.3,2.2,63.8,28.2,2,105.2,1744.7,42.407211,-71.382437
Michigan,506.1,1010.8,877.4,2394.3,318.7,14.3,4.4,179,2.3,49.7,250.4,3701.1,44.314844,-85.602364
Minnesota,261.5,514.5,582.6,1358.6,152.7,9.6,15.2,183.5,10.4,97.5,302.2,2426.9,46.729553,-94.6859
Mississippi,60,591.4,465.2,1116.6,72.3,0,4.6,72.8,3.1,0,76.8,1731.4,32.354668,-89.398528
Missouri,668.2,329.8,610.7,1608.7,111.4,7.5,4.7,71.8,3,25.8,108.5,2399.7,37.964253,-91.831833
Montana,152.3,90.8,172.7,415.8,0,103.8,,22.8,0.5,19.6,147.1,758.4,46.879682,-110.362566
Nebraska,264.1,196.4,242.3,702.8,58.9,12.6,2.8,128.8,0.4,50.5,193.5,1267.4,41.492537,-99.901813
Nevada,35,310.8,259.8,605.6,0,17.1,1.1,15.7,48.6,2.8,117.3,998.4,38.80261,-116.419389
New Hampshire,7.8,51.5,155.2,214.4,105.2,12.3,0.6,45,1.1,3.7,62.1,476.7,43.193852,-71.572395
New Jersey,16.7,799.6,935.1,1751.4,334.4,0.3,2.3,57.7,28.2,0.2,86.9,2831.1,40.058324,-74.405661
New Mexico,136.8,281.2,259.4,677.4,0,1.4,2.1,23.1,14.8,55.5,95.2,1055.1,34.97273,-105.032363
New York,16.7,1393.7,1328.9,2739.3,448.7,269.8,9.2,165.2,17.7,36.4,490.3,4723.7,43.299428,-74.217933
North Carolina,325.1,599.3,838.4,1762.8,439.9,60.1,2.8,149.3,57.8,4.9,273.2,3023.7,35.759573,-79.0193
North Dakota,407.3,130.5,189.9,727.6,0,29,2.7,32.9,,97.7,160.5,1110.9,47.551493,-101.002012
Ohio,717.8,1211.9,1110.5,3040.2,191.5,2.2,7.5,134.2,2.8,15.9,158.6,4443.5,40.417287,-82.907123
Oklahoma,171.3,834.6,538.7,1544.5,0,18.5,4.7,49.8,0.7,248.9,317.9,2450.9,35.007752,-97.092877
Oregon,16.9,271.3,332.9,621.1,0,322.7,6.7,95,8.5,67.8,496.8,1545.8,43.804133,-120.554201
Pennsylvania,644.1,1513.2,1203.2,3360.4,872.7,38.8,5.1,172.6,5.1,32.5,251.2,4987.4,41.203322,-77.194525
Rhode Island,0,104.7,84.4,189.2,0,,0.4,7.3,1.2,1.4,10,290.9,41.580095,-71.477429
