Year,Petroleum,Electricity,Natural_Gas,Bio_fuels,Coal
1987,9.34,16.35,6.36,3.14,4.00
1988,8.70,16.33,6.40,3.06,3.88
1989,9.28,16.04,6.14,2.41,3.82
1990,10.40,15.01,5.39,2.12,3.76
1991,10.17,14.42,5.14,2.52,4.13
1992,8.75,14.33,5.25,2.15,3.95
1993,9.22,14.89,5.49,2.23,3.75
1994,9.14,16.05,5.35,2.15,4.18
1995,9.13,16.05,5.17,2.15,4.16
1996,10.12,16.10,5.04,2.03,3.92
1997,10.01,15.29,5.17,1.86,3.73
1998,8.08,15.11,4.75,1.96,3.13
1999,9.14,15.16,4.98,2.11,3.06
2000,11.97,15.56,6.64,2.50,3.07
2001,11.84,18.72,9.16,3.32,2.89
2002,10.99,20.31,8.61,3.30,2.98
2003,12.89,19.85,8.26,3.08,2.82
2004,14.96,19.14,9.89,3.64,3.02
2005,17.51,18.76,11.51,3.74,3.60
2006,19.58,19.06,12.10,3.38,3.91
2007,20.41,19.24,12.13,3.65,3.97
2008,25.27,19.43,11.58,4.27,4.90
2009,17.85,19.41,12.41,4.17,4.81
2010,21.30,19.39,10.36,3.99,5.60
2011,26.70,19.37,10.24,4.21,5.98
2012,26.51,19.47,9.49,3.92,5.58
2013,25.51,19.58,9.02,4.13,5.70
2014,24.45,19.36,8.45,4.49,5.59
2015,17.13,19.86,8.90,3.90,5.44
2016,14.47,20.26,7.64,3.46,5.04
2017,17.03,20.56,7.44,3.68,5.47
