Year,Hydropower ,Coal,Natural_Gas,Nuclear,Biomass,Petroleum,Waste,Wind,Other_Renewables,Total
2001,45853455.00,13247976.00,11863293.00,3975371.00,937515.00,489650.00,236666.00,23822.00,229586.00,76857334.00
2002,56339641.00,10076412.00,6606079.00,3858716.00,392378.00,22244.00,23471.00,163134.00,220705.00,77702781.00
2003,53850478.00,14336264.00,7961221.00,3726175.00,434700.00,34957.00,139056.00,320540.00,75125.00,80878516.00
2004,54132176.00,14459001.00,7379356.00,4591072.00,536643.00,53046.00,102864.00,346470.00,134122.00,81734750.00
2005,55342273.00,14860017.00,7986135.00,4403537.00,587085.00,44233.00,150955.00,432667.00,80500.00,83887402.00
2006,59609529.00,14245188.00,7319961.00,4513216.00,392712.00,62232.00,331963.00,867392.00,72257.00,87414450.00
2007,59203647.00,14866637.00,8459744.00,4326265.00,460983.00,69267.00,288528.00,545622.00,60230.00,88280923.00
2008,58235550.00,15034912.00,9021054.00,5083665.00,415226.00,69937.00,276669.00,1010928.00,39909.00,89187849.00
2009,57214771.00,14672973.00,11846700.00,3653541.00,445076.00,94360.00,296180.00,587994.00,35296.00,88846891.00
2010,53412121.00,15955168.00,12207985.00,5430617.00,492371.00,81372.00,332719.00,567281.00,36163.00,88515798.00
2011,66847397.00,12900636.00,7003278.00,2390245.00,446890.00,68539.00,336948.00,1017702.00,67316.00,91078950.00
2012,62984536.00,12149258.00,7439486.00,4239398.00,310812.00,67580.00,303066.00,3011137.00,102101.00,90607375.00
2013,58074493.00,13519852.00,11949790.00,4247504.00,260972.00,64611.00,221914.00,2859415.00,78588.00,91277141.00
2014,59723805.00,14026540.00,10442484.00,4617391.00,300416.00,59674.00,203960.00,2219613.00,128961.00,91722844.00
2015,55306859.00,14388993.00,11807835.00,4021955.00,401408.00,47108.00,158887.00,2029032.00,158024.00,88320101.00
2016,55697796.00,12799782.00,9937111.00,4308647.00,675649.00,61888.00,110699.00,3661267.00,151668.00,87404507.00
2017,63644891.00,12593438.00,10188498.00,3941745.00,562311.00,103244.00,172753.00,2674081.00,124637.00,94005598.00
